N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,71000.0,1600.0,-2.20%,100.0,3022314.0,4484245.0,433766.0
2.0,SK하이닉스,131000.0,1100.0,-0.83%,5000.0,446216.0,1038715.0,68094.0
3.0,LG에너지솔루션,390000.0,10500.0,-2.62%,500.0,255986.0,382994.0,12137.0
4.0,삼성바이오로직스,756000.0,10000.0,-1.31%,2500.0,30013.0,165821.0,9836.0
5.0,삼성전자우,58300.0,800.0,-1.35%,100.0,,,
6.0,셀트리온,178000.0,9500.0,-5.07%,1000.0,22840.0,58917.0,6472.0
7.0,현대차,181800.0,4400.0,-2.36%,5000.0,1425275.0,2557425.0,98198.0
8.0,NAVER,219000.0,11000.0,-4.78%,100.0,82201.0,338990.0,13047.0
9.0,POSCO홀딩스,419000.0,18500.0,-4.23%,5000.0,847502.0,984068.0,48501.0
10.0,기아,87900.0,1900.0,-2.12%,5000.0,865590.0,737110.0,72331.0
11.0,LG화학,408500.0,23500.0,-5.44%,5000.0,518649.0,679738.0,29957.0
12.0,삼성SDI,379000.0,16000.0,-4.05%,5000.0,201241.0,302575.0,18080.0
13.0,카카오,57500.0,2100.0,-3.52%,100.0,71068.0,229635.0,5803.0
14.0,포스코퓨처엠,288500.0,15000.0,-4.94%,500.0,33019.0,46375.0,1659.0
15.0,삼성물산,117000.0,2300.0,-1.93%,100.0,431617.0,589815.0,25285.0
16.0,KB금융,49800.0,1300.0,-2.54%,5000.0,888959.0,7011708.0,56389.0
17.0,현대모비스,205500.0,7500.0,-3.52%,5000.0,519063.0,554067.0,20265.0
18.0,신한지주,36550.0,300.0,-0.81%,5000.0,354133.0,6758843.0,58881.0
19.0,에코프로머티,226500.0,3000.0,+1.34%,500.0,6652.0,6349.0,390.0
20.0,LG전자,91300.0,3300.0,-3.49%,5000.0,834673.0,551561.0,35510.0
21.0,HMM,20300.0,400.0,-1.93%,5000.0,185828.0,259735.0,99516.0
22.0,카카오뱅크,29000.0,1450.0,-4.76%,5000.0,16058.0,395161.0,3532.0
23.0,삼성에스디에스,165100.0,2600.0,-1.55%,500.0,172347.0,119524.0,9161.0
24.0,삼성생명,61100.0,1300.0,-2.08%,500.0,403310.0,3161659.0,13866.0
25.0,한국전력,18980.0,260.0,-1.35%,5000.0,712579.0,2348050.0,-326552.0
26.0,하나금융지주,41300.0,250.0,-0.60%,5000.0,708438.0,5688732.0,46903.0
27.0,메리츠금융지주,59000.0,2100.0,-3.44%,500.0,703656.0,927572.0,22009.0
28.0,SK이노베이션,117900.0,4500.0,-3.68%,5000.0,780569.0,672189.0,39173.0
29.0,삼성화재,243500.0,6500.0,-2.60%,500.0,257844.0,882243.0,16061.0
30.0,LG,72200.0,3000.0,-3.99%,5000.0,71860.0,296337.0,19414.0
31.0,KT&G,84500.0,1100.0,-1.29%,5000.0,58514.0,123017.0,12676.0
32.0,SK,153000.0,5200.0,-3.29%,200.0,1345516.0,1945059.0,80047.0
33.0,SK텔레콤,49400.0,300.0,+0.61%,100.0,173050.0,313083.0,16121.0
34.0,삼성전기,138600.0,7900.0,-5.39%,5000.0,94246.0,109972.0,11828.0
35.0,HD현대중공업,113900.0,5000.0,-4.21%,5000.0,90455.0,162894.0,-2892.0
36.0,고려아연,451500.0,12500.0,-2.69%,5000.0,112194.0,120979.0,9192.0
37.0,우리금융지주,12450.0,80.0,-0.64%,5000.0,423727.0,4804744.0,44305.0
38.0,두산에너빌리티,14570.0,660.0,-4.33%,5000.0,154211.0,230498.0,11061.0
39.0,하이브,223500.0,5000.0,-2.19%,500.0,17762.0,48704.0,2369.0
40.0,기업은행,11580.0,10.0,+0.09%,5000.0,275361.0,4319797.0,37748.0
41.0,크래프톤,186000.0,9000.0,-4.62%,100.0,18540.0,60303.0,7516.0
42.0,포스코DX,58800.0,400.0,-0.68%,500.0,11527.0,8516.0,647.0
43.0,포스코인터내셔널,50500.0,1100.0,-2.13%,5000.0,379896.0,125163.0,9025.0
44.0,KT,33300.0,150.0,+0.45%,5000.0,256500.0,409807.0,16901.0
45.0,대한항공,22100.0,550.0,-2.43%,5000.0,140961.0,289977.0,28306.0
46.0,HD한국조선해양,104400.0,4900.0,-4.48%,5000.0,173020.0,298835.0,-3556.0
47.0,카카오페이,55000.0,1900.0,-3.34%,500.0,5217.0,33315.0,-455.0
48.0,S-Oil,64700.0,900.0,-1.37%,2500.0,424460.0,196131.0,34052.0
49.0,TIGER CD금리투자KIS(합성),53670.0,5.0,+0.01%,0.0,,,
50.0,아모레퍼시픽,121300.0,1500.0,-1.22%,500.0,41349.0,58018.0,2142.0
51.0,SK바이오팜,89500.0,5000.0,-5.29%,500.0,2462.0,6642.0,-1311.0
52.0,한화에어로스페이스,135000.0,3700.0,-2.67%,5000.0,65396.0,151573.0,3772.0
53.0,한화오션,21400.0,700.0,-3.17%,5000.0,48602.0,122357.0,-16136.0
54.0,SK스퀘어,46850.0,850.0,-1.78%,100.0,45107.0,221606.0,1628.0
55.0,KODEX CD금리액티브(합성),1023890.0,105.0,+0.01%,0.0,,,
56.0,현대글로비스,168600.0,3900.0,-2.26%,500.0,269819.0,138778.0,17985.0
57.0,삼성중공업,7050.0,100.0,-1.40%,1000.0,59447.0,144917.0,-8544.0
58.0,KODEX 200,32920.0,825.0,-2.44%,0.0,,,
59.0,한화솔루션,34150.0,3600.0,-9.54%,5000.0,136539.0,238317.0,9662.0
60.0,두산로보틱스,89400.0,3900.0,-4.18%,500.0,450.0,626.0,-132.0
61.0,DB손해보험,79700.0,400.0,-0.50%,500.0,228608.0,644966.0,13331.0
62.0,한국타이어앤테크놀로지,44500.0,300.0,-0.67%,500.0,83942.0,125814.0,7058.0
63.0,금양,93500.0,4600.0,-4.69%,500.0,2131.0,2828.0,132.0
64.0,맥쿼리인프라,12450.0,20.0,-0.16%,0.0,,,
65.0,SK아이이테크놀로지,75000.0,5200.0,-6.48%,1000.0,5858.0,34973.0,-523.0
66.0,롯데케미칼,123900.0,4700.0,-3.65%,5000.0,222761.0,267846.0,-7626.0
67.0,HD현대,65700.0,1400.0,-2.09%,1000.0,608497.0,655709.0,33870.0
68.0,한국항공우주,52800.0,1100.0,-2.04%,5000.0,27869.0,77724.0,1416.0
69.0,한미반도체,52400.0,300.0,-0.57%,100.0,3276.0,4554.0,1119.0
70.0,한진칼,76100.0,4100.0,-5.11%,2500.0,2003.0,39151.0,145.0
71.0,TIGER KOFR금리액티브(합성),104080.0,10.0,+0.01%,0.0,,,
72.0,SK바이오사이언스,63400.0,2400.0,-3.65%,500.0,4567.0,21419.0,1150.0
73.0,LG이노텍,204500.0,12000.0,-5.54%,5000.0,195894.0,97936.0,12718.0
74.0,현대오토에버,174800.0,5400.0,-3.00%,500.0,27545.0,26194.0,1424.0
75.0,LG생활건강,305000.0,7500.0,-2.40%,5000.0,71858.0,73029.0,7111.0
76.0,넷마블,55000.0,1000.0,-1.79%,100.0,26734.0,89356.0,-1087.0
77.0,삼성엔지니어링,23850.0,550.0,-2.25%,5000.0,100543.0,78487.0,7029.0
78.0,유한양행,60400.0,1800.0,-2.89%,1000.0,17758.0,24727.0,360.0
79.0,LG디스플레이,12750.0,120.0,-0.93%,5000.0,261518.0,356860.0,-20850.0
80.0,코스모신소재,139100.0,2200.0,-1.56%,1000.0,4856.0,4513.0,325.0
81.0,KODEX KOFR금리액티브(합성),105530.0,10.0,+0.01%,0.0,,,
82.0,두산밥캣,43950.0,1400.0,-3.09%,500.0,86219.0,92484.0,10716.0
